dataset_id,groundtruth,embedding_top1,embedding_top2,embedding_top3,embedding_top4,embedding_top5,tfidf_top1,tfidf_top2,tfidf_top3,tfidf_top4,tfidf_top5,hybrid_top1,hybrid_top2,hybrid_top3,hybrid_top4,hybrid_top5,embedding_gt_avg_rank,embedding_gt_best_rank,embedding_gt_best_count,tfidf_gt_avg_rank,tfidf_gt_best_rank,tfidf_gt_best_count,hybrid_gt_avg_rank,hybrid_gt_best_rank,hybrid_gt_best_count
5a39d7ed-45c9-4a79-b581-e5fb99e24f65_raw_events,T1057 | Process Discovery,Msiexec: 3664 (44.67%),Regsvr32: 3471 (42.32%),Netsh Helper DLL: 668 (8.14%),Service Registry Permissions Weakness: 399 (4.86%),,Service Registry Permissions Weakness: 4124 (50.28%),Path Interception: 1686 (20.56%),Odbcconf: 1585 (19.32%),Asymmetric Cryptography: 807 (9.84%),,Msiexec: 3664 (44.67%),Regsvr32: 2324 (28.33%),Service Registry Permissions Weakness: 1860 (22.68%),Path Interception by Search Order Hijacking: 354 (4.32%),,42.362716410631556,31.0,314,85.06851987320165,70.0,760,44.89319678127286,33.0,314
e6715e61f5df646692c624b3499384c4_raw_events,T1105 | Ingress Tool Transfer,Print Processors: 165 (34.66%),Port Monitors: 136 (28.57%),Shared Modules: 111 (23.32%),Winlogon Helper DLL: 38 (7.98%),Regsvr32: 26 (5.46%),Path Interception: 418 (87.82%),Accessibility Features: 58 (12.18%),,,,Regsvr32: 316 (66.39%),Msiexec: 61 (12.82%),Path Interception: 58 (12.18%),Rundll32: 41 (8.61%),,126.25840336134453,77.0,25,270.24789915966386,172.0,38,133.06302521008402,85.0,25
68235976-2404-42a8-9105-68230cfef562_raw_events,T1491 | Defacement,Msiexec: 9733 (61.19%),Regsvr32: 2824 (17.75%),Shared Modules: 1847 (11.61%),System Binary Proxy Execution: 826 (5.19%),Netsh Helper DLL: 676 (4.25%),Service Registry Permissions Weakness: 8241 (51.81%),InstallUtil: 3177 (19.97%),Path Interception: 1625 (10.22%),Accessibility Features: 1604 (10.08%),Odbcconf: 904 (5.68%),Msiexec: 9550 (60.04%),InstallUtil: 3532 (22.21%),Service Registry Permissions Weakness: 1589 (9.99%),Regsvr32: 1235 (7.76%),,557.0997108009556,425.0,826,459.91933861435933,183.0,579,558.5018860807243,426.0,826
66a5fd5f244819181f074dd082a28905_raw_events,T1564.001 | Hide Artifacts: Hidden Files and Directories,Shared Modules: 139 (43.3%),Msiexec: 92 (28.66%),Winlogon Helper DLL: 49 (15.26%),Regsvr32: 41 (12.77%),,Path Interception: 252 (78.5%),Accessibility Features: 69 (21.5%),,,,Msiexec: 118 (36.76%),Regsvr32: 111 (34.58%),Service Registry Permissions Weakness: 49 (15.26%),Path Interception: 43 (13.4%),,140.7196261682243,101.0,32,82.25545171339564,65.0,41,125.67601246105919,95.0,32
52177cc1-b9ab-4411-ac21-2eadc4b5d3b8_raw_events,T1083 | File and Directory Discovery,Regsvr32: 3640 (42.6%),Msiexec: 3489 (40.84%),Service Registry Permissions Weakness: 761 (8.91%),Netsh Helper DLL: 368 (4.31%),InstallUtil: 286 (3.35%),Service Registry Permissions Weakness: 4675 (54.72%),Path Interception: 1629 (19.07%),Odbcconf: 1586 (18.56%),Accessibility Features: 654 (7.65%),,Msiexec: 5394 (63.13%),Service Registry Permissions Weakness: 2782 (32.56%),InstallUtil: 368 (4.31%),,,178.15168539325842,62.0,286,546.7653323970037,417.0,823,185.64583333333334,67.0,286
7fe6a66d03f4dbfc022609ba311c2b11_raw_events,T1112 | Modify Registry,Regsvr32: 92 (30.16%),Change Default File Association: 90 (29.51%),Winlogon Helper DLL: 85 (27.87%),Msiexec: 38 (12.46%),,Registry Run Keys / Startup Folder: 305 (100.0%),,,,,Registry Run Keys / Startup Folder: 290 (95.08%),Msiexec: 15 (4.92%),,,,88.09836065573771,77.0,15,32.11147540983607,25.0,44,68.67540983606557,59.0,15
1afaec09315ab71fdfb167175e8a019a_raw_events,T1566.001 | Phishing: Spearphishing Attachment,Rundll32: 2828 (26.69%),Netsh Helper DLL: 2545 (24.02%),System Binary Proxy Execution: 2208 (20.84%),Steal or Forge Authentication Certificates: 1381 (13.04%),Regsvr32: 1002 (9.46%),Path Interception by Search Order Hijacking: 10594 (100.0%),,,,,Path Interception by Search Order Hijacking: 10594 (100.0%),,,,,325.96686803851236,220.0,641,426.3402869548801,227.0,1002,345.23003586936,240.0,641
1095434782a00c8a4772a11e625bcf5d_raw_events,T1105 | Ingress Tool Transfer,Netsh Helper DLL: 232 (25.33%),Print Processors: 228 (24.89%),Regsvr32: 227 (24.78%),Shared Modules: 132 (14.41%),Time Providers: 58 (6.33%),Service Registry Permissions Weakness: 455 (49.67%),Security Support Provider: 109 (11.9%),Accessibility Features: 83 (9.06%),Path Interception: 80 (8.73%),Windows Command Shell: 62 (6.77%),Service Registry Permissions Weakness: 603 (65.83%),Regsvr32: 142 (15.5%),Msiexec: 49 (5.35%),Port Monitors: 44 (4.8%),Accessibility Features: 39 (4.26%),70.04912663755458,40.0,36,376.2991266375546,148.0,109,75.32751091703057,45.0,36
163b023f43aba758d36f524d146cb8ea_raw_events,T1547.001 | Boot or Logon Autostart Execution: Registry Run Keys / Startup Folder,Regsvr32: 147 (48.2%),Print Processors: 78 (25.57%),Winlogon Helper DLL: 72 (23.61%),Msiexec: 8 (2.62%),,Credentials in Registry: 305 (100.0%),,,,,Regsvr32: 188 (61.64%),Msiexec: 76 (24.92%),Netsh Helper DLL: 24 (7.87%),Path Interception: 17 (5.57%),,12.832786885245902,8.0,29,57.295081967213115,40.0,24,16.501639344262294,13.0,84
e2af3c3ab1b0f659c874b8af58c49759_raw_events,T1137.002 | Office Application Startup: Office Test,Msiexec: 187 (58.62%),Shared Modules: 93 (29.15%),Regsvr32: 39 (12.23%),,,Office Test: 319 (100.0%),,,,,Office Test: 319 (100.0%),,,,,4.789968652037618,3.0,75,1.0,1.0,319,1.0,1.0,319
